Year,Gender,Believer (Frequency),Believer (Ratio),Denier (Frequency),Denier (Ratio),Neutral (Frequency),Neutral (Ratio),Total Tweets
2014,Male,123060,0.45029254744976926,45052,0.1648511282927597,105177,0.384856324257471,273289
2014,Female,46802,0.4145805651519178,16574,0.14681548409956596,49514,0.43860395074851627,112890
2014,Undefined,13924,0.6251795977011494,1675,0.07520653735632184,6673,0.29961386494252873,22272
